impact	Caractéristique	Nom du règne	Description	Type Sexe	Sexué	Introduction de la race (pour caractériser la race : "tu te réveilles en ayant froid pour un Lavinfern"	Age min	Age max	impacts					
														
		Planètes												
														
2		Arrakis	La planète désertique typique. C'est là que les vers géants vivent ainsi que les peuples Fremen, des humains ayant abusés de drogues pour survivre sur cette planète hostile. On y trouve l'épice de longue vie, une sorte de drogue qui donne l'impression aux humains de pouvoir vivre plus longtemps et de tordre l'espace temps. Cela permet à certains d'entre eux de voir l'avenir et de réaliser des voyages immobiles. Les régions polaires et équatoriales d'Arrakis sont inhabitées par les humains qui ne peuvent pas survivre aux puissantes tempêtes de Coriolis provoquées par l'activité magnétique de la planète. Cependant, beaucoup pensent qu'il s'agit d'une des plus grande colonnie de Sab'eldune, voir même qu'il s'agit de leur planète d'origine. En fait, plusieurs témoignages montrent qu'une secte Crystallim habite Arrakis depuis plusieurs millénaires installée dans les grottes. Ici, ils vivent une vie simple, retirée des enjeux politiques. Cette secte s'appelle les Kiber. 											
2		Coruscant	Coruscant est une planète désormais entièrement couverte par des villes sur plusieurs kilomètres de hauteur. La planète a perdu son ecosystème depuis plusieurs siècles. Elle a été au centre de conflits de très large envergure mais se trouve maintenant dans une position très secondaire. Coruscant est encore très visitée pour le tourisme culturel, en effet de nombreux vestiges de son passé glorieux restent présents et tout un commerce s'appuie sur cette réputation. Bien que la téléportation soit beaucoup plus pratique, les habitants de Coruscant continuent d'utiliser des véhicules volants et la planète est très réputée pour ses embouteillages monstres sur tous les niveaux de la ville. Il est de notoriété publique que la première révolution Cybornétik a eu lieu sur cette planète qui est devenue un lieu de pélerinage.											
1		Krypton	La planète Krypton est en fait une ancienne planète fracturée. Suite à un événement géologique majeur, la planète a été détruite et maintenant plusieurs morceaux de la taille de la Lune terrienne dansent une valse gravitationnelle les uns autour des autres. Les plus gros morceaux sont entourés de nombreux satelites de couleur verte, radioactifs et extrêmement toxiques. Les spécialistes ne comprennent pas pour quelles raisons la planète ne s'est pas reformée et pourquoi les satellites ne tombent pas sur les morceaux plus gros. Ce système défie les lois de la thermodynamique en se maintenant dans un état d'énergie élevé. La planète est devenue un refuge pour les pires groupes de pirates Bazalti, en effet peu d'organismes survivent dans cet environnement hostile. Par ailleurs, les Bazalti s'imbibent des radiations mortelles de la planète pour faire de leur corps un instrument de mort encore plus efficace lors d'un rituel appelé le Torquasm-Rao. 											
2		Mars	La planète Mars est l'une des plus célèbre planète usine du Quadrant GB 300678. Entièrement dédiée à la production de l'industrie humaine, la planète à été plusieurs fois rapprochée du soleil pour bénéficier de plus d'énergie. Après la mise au point de la fusion dimensionnelle comme source d'énergie, Mars a connu plusieurs effondrements temporels et compte maintenant une centaine de dimensions de poche qui se déplacent de manière chaotique à travers la planète. La plupart des sites de productions sont entièrement automatisés et ne sont que peu impactés par ce phénomène. Les habitants ont cependant du modifier leurs habitudes et développer des villes nomades, tous les immeubles, les rues et l'ensemble des équipements se déplacent en fonction de la météo des dimensions de poche. Cette activité interdimensionnelle très riche semble avoir attiré de nouveaux habitants sur la planète autrefois surpeuplée, peuples métamorphes sensibles au feu, petits hommes verts, pygmées de l'espace casqués, toutes les formes semblent vouloir maintenant sortir des interactions entre les dimensions de poche. Pourtant, l'un des phénomènes les plus remarqués est l'apparition de Lavinfern des premiers temps. Lors des premiers contacts avec ces derniers, les colons humains ont tenté de communiquer mais il semblait que leurs metatraducteurs ne fonctionnaient pas. En fait les Lavinfern parlaient une version antique d'un langage des Lavinfern datée de 250 000 ans. Ce groupe s'est installé sur Mars, au titre des accords sur les réfugiés temporels mais commence à constituer une gène importante dans les relations entre les humains et les Lavinfern.											
0		Crematoria	Crématoria est une planète de la taille de la Terre extrêmement proche de son soleil et sans atmosphère. L'ensemble de ses installations est donc interne, sous sa croûte. La planète a été très longtemps utilisée comme prison par des colonisateurs humains : sa situation et la difficulté de son accès en ont fait une colonie pénitentière très prisée, jusqu'à l'évasion d'un groupe de prisoniers. Bien que les faits soient assez flous, il semble que l'évasion ait été facilitée par une attaque extérieure. Toujours est-il que la colonie a été laissée à elle même pendant plusieurs décénies. Les quelques prisoniers survivants ont développé une société de troglodytes et faute de pouvoir quitter la planète, ils ont poussé l'exploration des entrailles de la planète. Ils ont découvert toute une série de cavités intérieures éclairées par des roches brillantes ainsi que des lieux qui ressemblaient à des villes titanesques abandonnées. Ces villes, bien qu'il n'y ait pas de témoignage direct, semblent avoir été construites et habitées par des Grannti. L'éclairage des villes s'est révélé être constitué de pure stase de Dilithium, source d'énergie extrêmement précieuse. Les installations Grannti ont permis aux prisonniers de contacter l'extérieur et de renouer avec le jeu politique des trois règnes.											
0		Helios Prime	Helios Prime est l'une des cinq planètes du système Helios, réputé pour la liberté politique et artistique de ses habitants. Helios Prime est très largement immergée avec un taux de terres découvertes de seulement 10% ce qui en fait l'une des planètes privilégiée des races aquatiques. Les Corayy ont décidé d'envoyer un ambassadeur permanent à Helios Prime du fait de sa position très privilégiée à proximité du trou de ver Kramkazal. Du fait de l'important trafic commercial et militaire de la zone, les peuples de l'univers sont souvent en conflit à cet endroit et recherchent les conseils des Corayy. Les premiers habitants d'Helios Prime, une race marine vivant pour l'essentiel dans les grandes profondeurs semblent avoir commencé à communiquer avec les Corayy. Ils remontent suffisamment près de la surface pour communiquer seulement une fois tous les 120 ans. La raison de leurs cycles de montées et plongées est inconnue mais plusieurs Observateurs Likken pensent que cela a un lien avec les attaques de monstres marins constatées partout autour d'Helios Prime. 											
-1		Serh Payzh	La planète Serh Payzh est l'une des plaques tournantes de l'énergie dans l'univers. D'immenses cuves contiennent les différents carburants des navettes et véhicules du monde. Sa position au coeur des pipelines subspatiaux en a fait la planète la mieux placée pour stocker, faire circuler et distribuer les précieux fluides et cristaux. Cela en fait également une planète extrêmement stratégique et de nombreuses forces militaires stationnent tout près pour agir en cas de besoin. Cette planète était initialement un avant poste Ar'gyl mais ces derniers ont perdu tout droit sur la planète qui est devenue un port franc pour les trois règnes. L'histoire récente de la planète à été très violente ce qui a ravagé l'essentiel des biotopes existants. La planète est donc maintenant essentiellement habitée par des personnes de passage vivant dans des quartiers nouveaux et entièrement artificiels. La vie est confortable mais assez risquée, les attaques de pirates et autres groupes de séparatistes restent assez fréquentes et sont durement réprimées. Il n'est pas rare que la répression fasse plus de victimes que l'attaque initiale, les autorités militaires ne faisant pas dans le détail pour assurer les flux de carburants.											
-2		Enteuges V	Le système Hautloa R est l'un des plus sauvage de l'univers. Très peu de planètes sont habitées et lorsqu'elles le sont c'est par des hordes sauvages avides de rapines, de meurtres et de violence. Enteuges V ne fait pas exception a la règle mais sort du lot du fait de traces de civilisations très anciennes. Les Grannt'i qui ont eu l'occasion de venir sur cette planètes décrivent des visions et des rêves mystiques ce qui n'est pas vraiment dans les habitudes de ces êtres assez rustres. La planète est caractérisée par la constance de vent, il ne se passe pas un jour sans vent sur Enteuges V a tel point que toute la planète semble comme lissée par ce phénomène. La végétation est assez rare sur la planète et très peu d'êtres vivants peuvent y rester. Les personnes qui sont restées trop longtemps sur cette planète sont réputées perdre la tête mais aussi renforcer leur lien avec les forces mystiques. La légende raconte que le prophète Peph Hinet serait né sur Enteuges V et que c'est là qu'il aurait eu les visions qui l'ont ensuite mené à développer son message de paix et de fusion avec le grand tout. La religion qu'il a créée, le Tak Mleh a provoqué l'une des plus grande vague de suicide de l'histoire récente, des milions de croyants se sont jetés dans le soleil de leur système pour se fondre avec le grand Tout. Ils avaient la conviction qu'ils allaient revenir de l'autre côté élus parmi les élus. Peph Hinet a disparu et beaucoup pensent qu'il a été assassiné par les forces de l'empire Likk'N. Cependant, il avait prophétisé sa propre disparition et son retour, de nombreux croyants attendent son retour pour s'unir avec le grand tout. 											
-2		Septim	Septim est l'une des planètes garnison la plus ancienne, elle est réputée imprenable depuis plus de 100 000 ans. Ses habitants des Bazalti particulièrement petits et grincheux s'entraînent à la défense de leur planète dès leur naissance et jusqu'à leur mort. La défense de la planète a été construite depuis tellement de temps que c'est tout le système solaire qui sert d'avant poste à la défense. La plupart des 8 planètes du système et de leurs lunes sont utilisées a des fins de repérage et de défense de Septim. Les habitants de la garnison ont le sentiment d'être en état de siège permanent ce qui en fait les êtres les plus acrimonieux et aggressifs qui soient. Même selon les critères Bazalti les Septimis sont particulièrement teigneux. Beaucoup d'aventuriers ont tenté d'entrer dans la place forte, alléchés par les trésors que peuvent représenter 100 000 ans d'accumulation de rapines mais rares sont ceux qui ont simplement pu s'approcher. Le clan Epta, qui tient le fort depuis 100 millénaires ne laisse personne sortir ou entrer sur son territoire et mène régulièrement des expéditions punitives pour châtier ceux qui ont tenté de s'approcher. Les historiens humains attribuent le massacre de Gal Maraz a une incursion d'aventuriers humains dont les Epta aurait retracé l'origine sur la planète. Le bilan s'est établi à 3 miliards de victimes, la planète Gal Maraz est désormais une planète morte.											
1		Saw'Ggh	Saw'Ggh est la troisième planète de son sytème, elle est particulièrement tempérée, bénéficie d'un climat agréable et d'une végétation et d'une vie animale foisonnante. L'activité principale est la production de nourriture, réalisée dans le respect de l'écosystème et par un mélange harmonieux de races des trois règnes. Beaucoup considèrent cette planète comme paradisiaque et les Corayy qui en colonisent les fonds marins participent à ce subtil équilibre. Lorsqu'on recherche la paix et l'harmonie c'est à Saw'Ggh que l'on vient ce qui fait que de nombreuses migration ont eu lieu vers ce havre de paix par des êtres recherchant une vie simple. Le coeur battant de l'activité de la planète est la Tour Dezenglé. Il s'agit d'un complexe dans lequel se font les échanges entre habitants de la planète et de la planète avec les autres systèmes. La Tour est un immense ascenseur spatial dont personne ne sait qui l'a construit, à quelle époque ou pour quelle raison. Sa facture est très avancée et la Tour semble s'entretenir toute seule. L'appellation Dezenglé vient du nom du Pho'lenn qui est parvenu le premier à pénétrer dans la Tour et à faire fonctionner ses systèmes internes. D'aucun prétendent que la Tour n'est pas qu'un simple marchepied vers l'espace mais qu'elle joue un rôle majeur dans la régulation du climat et dans la tranquilité de la planète. Dezenglé avait en effet pour théorie que la Tour possédait des systèmes permettant de manipuler la chance et que ces derniers protégeaient la planète de tous les périls, qu'ils soient naturels ou artificiels.											
1		Sey Suell	Sey Suell est plutôt un système qu'une planète. Il s'agit d'un ensemble de deux planétoïdes ayant chacun un diamètre de moins de 1000 kilomètres. Leur gravité de 6 mètres par secondes est plus faible que sur la Terre. Leur caractéristique la plus marquante est d'avoir deux directions de temps opposées. Dans le planétoïde Sey le temps s'écoule vers le futur tandis que sur Suell il remonte vers le passé. Le peuple originaire de ce système avait développé une tradition de gardiens du temps le rite du Pachakuti. Ce rituel très contrôlé amenait des habitants élus à passer d'un planétoïde à l'autre lors des conjonctions ayant lieu tous les 50 ans et controlaient de manière étroite leur taux de natalité pour éviter de rompre l'équilibre cosmique. Ce mode de vie a été brisé par la découverte du système par des promoteurs Trappus. Les 1000 familles, les populations les plus privilégiées de l'univers, viennent désormais prendre un bain de jeunesse dans le sysème très régulièrement ce qui a développé le tourisme et poussé à une persécution impitoyable des populations indigènes.  La pratique du Pachakuti a été interdite et les habitants se sont rapidement éteints, habitués qu'ils étaient à controler leur natalité. 											
-2		Chorr'Jhh	Dans tout l'univers Chorr'Jhh est réputée comme étant la planète idéale pour les vacances toute une série d'agences de voyages proposent des itinéraires à leurs ressortissants. La particularité de Chorr'Jhh est d'être située sur le plan équatorial de deux soleils dont les gravités s'annulent. Ce phénomène particulier génère des effets de lumières tout à fait uniques dans une atmosphère saturée d'eau. Les reliefs sont également uniques et les phénomènes gravitationnels génèrent des ilôts flottants qui sont arrachés à la planète, naviguent lentement durant quelques siècles avant de se poser plus loin. Ainsi, le paysage est toujours en mouvement. L'unique difficulté de la planète est son accès rendu assez technique et périlleux du fait des forces gravitationnelles des deux soleils du système. Seuls les capitaines les plus expérimentés sont autorisés à emporter des voyageurs dans ce pays de Cocagne. La planète n'a pas d'habitants mais des rumeurs circulent laissant entendre qu'elle serait une pouponnière de la race Asrteroidd. Du fait des difficultés de communication avec cette race et de l'impossibilité de distinguer un Astreroidd d'un corps céleste il est impossible d'invalider cette hypothèse.											
-1		Béssinmishell	La planète Béssinmishell est l'une des plus secrètes de la galaxie. Elle fait figure de mythe pour la plupart des aventuriers de l'espace. Cette planète aurait la particularité d'être nichée au coeur d'une étoile. Les rumeurs sur cette planète circulent depuis plusieurs siècles sans qu'aucune information véritablement concrète n'ait jamais émergé. Comme souvent les mythes les plus fantasques courent sur le sujet de la planète Béssinmishell et certains prétendent que l'emporium scientifique Paragytt n'aurait pas été annihillé et qu'ils conserveraient une place forte sur la planète au coeur du soleil. Les Crystallim ne laissent rien au hasard et se sont donc lancés dans la recherche de ce prétendu dernier bastion de leur ennemi mortel. Après plusieurs siècles de recherche, ils ne semblent pas avoir trouvé quoi que se soit. Par ailleurs, ce qu'ils découvriront sur cette planète exceptionnelle pourrait bien être très différent de ce qu'ils cherchaient. La planète Béssinmishell a maintenant un deuxième nom, tiré de l'un des dialectes Crystallim : Marito. Cela signifie le bout du chemin.											
1		Ey Zin Pin Ey	Ey Zin Pin Ey est l'un des exemples les plus marquants de planète symétrique de l'univers. L'hémisphère nord est appelé Zin et le sud Pin. Tout ce qui se passe sur un hémisphère se passe en miroir sur l'autre hémisphère. Tout habitant a son "reflet" de l'autre côté de la planète. De nombreuses expériences ont été réalisées pour tenter de comprendre ce phénomène, notamment en identifiant précidément l'altitude à partir de laquelle le "reflet" disparaît. L'un des rituels les plus sacrés de la planète est "l'interversion". Cela consiste à se rendre sur l'équateur pour changer d'hémisphère et devenir le reflet de son reflet. C'est un pélerinage réalisé tous les 7 ans d'Ey Zin Pin Ey (soit environ 10 années terrestres). Certains rares élus ont l'occasion de rencontrer leur reflet, là encore, les causes de ce phénomène sont mal comprises. En dehors de cela, cette planète est plutôt excentrée et sans histoire, loin des grands portails de transport spatiaux. 											
-1		Lécuv	L’atmosphère de la planète Lécuv absorbe intégralement la lumière ce qui rend aveugle toute créature à sa surface et lui vaut le surnom de planète d'Ombre. Les puissances géothermiques ont pourtant permis l'apparition de la vie sur Lécuv mais cependant il s'agit de formes de vies plutôt rustres et sans intelligence. La planète n'a pas de population indigène connue, bien qu'une rumeur prétend que les Chamignon sont originaires de Lécuv. Le culte Tak Mleh a choisi cet environnement hostile pour en faire un lieu d’épreuve de la foi. Le rite d'initiation consiste pour le croyant à passer 1 an et un jour sur la Lécuv avec un groupe de 7 autres croyants. Ce rite très dangereux a été à de multiples reprises interdit et a fait de nombreuses victimes mais il reste encore pratiqué. Plusieurs gouvernement envoient leurs troupes d’élite s’entraîner afin d'endurcir leur moral et de les confronter à des situations de combat nouvelles. Les troupes utilisent des outils pour se repérer dans la vue et la plupart des soldats ayant réalisé l'expérience considère qu'il s'agit d'une des pires situations qu'ils aient éprouvée. 											
1		Zhell Shu	La planète des Ermites. Cette planète est dans un système mono solaire. L’étoile du système a été éjectée d’une galaxie et être maintenant dans le vide entre les galaxies. Cela en a fait une planète de choix pour tous les hommes cherchant à s’exiler depuis des siècles. Cette planète attire donc les Ermites et les marginaux rejetés de la société. Ils trouvent un asile mais aussi des maîtres ayant choisi de se retirer de la société et pratiquant des ascèses extrêmes et ayant développé les pensées les plus radicales de l’univers.											
1		Monç	Monç est une planète dont la particularité est d'être extrêmement petite, microscopique en réalité. Pendant très longtemps les trois règnes l'ont totalement ignorée. Ses habitants sont également extrêmement petits et ont développé rapidement une technologie de protection de leur planète pour éviter les désordres atmosphériques lorsque la planète passe en proximité des planétoïdes à la taille plus classique. Après la découverte de la molécule Pym, il a été enfin possible d'imaginer entretenir des relations régulières avec les habitants de Monç. L'avenir de la planète est très incertain dans la mesure où elle se rapproche d'autres systèmes et pourrait être rapidement assimilée par un plus gros astéroïdes.											
